Frame # 0
12 -215.977844 27
13 -215.646439 27
14 -214.899048 27
15 -213.292374 27
Frame # 46
0 -232.596802 27
1 -233.265015 27
2 -238.493530 27
3 -236.555130 27
4 -233.894424 27
5 -232.614105 27
6 -231.718964 27
7 -228.289963 27
8 -228.536804 27
9 -227.311829 27
10 -224.342056 27
11 -222.975021 27
12 -221.830887 27
13 -221.569305 27
14 -220.215378 27
15 -219.322830 27
Frame # 47
0 -224.316650 27
1 -234.376221 27
2 -232.914215 27
3 -230.313812 27
4 -229.547791 27
5 -228.106781 27
6 -226.887817 27
7 -224.680298 27
8 -225.235916 27
9 -224.172897 27
10 -222.479507 27
11 -221.781952 27
12 -221.441223 27
13 -220.551239 27
14 -219.920059 27
15 -218.487839 27
Frame # 48
0 -225.351654 27
1 -234.376221 27
2 -233.711243 27
3 -233.478439 27
4 -231.587814 27
5 -230.669785 27
6 -228.030258 27
7 -225.560684 27
8 -225.721359 27
9 -225.350189 27
10 -224.528305 27
11 -223.730240 27
12 -222.319183 27
13 -221.014435 27
14 -219.919586 27
15 -218.209503 27
Frame # 49
0 -224.223053 27
1 -234.191040 27
2 -234.331177 27
3 -232.599365 27
4 -231.056137 27
5 -229.873825 27
6 -228.205414 27
7 -227.849731 27
8 -227.274689 27
9 -226.232651 27
10 -225.087082 27
11 -224.674240 27
12 -223.586823 27
13 -222.679932 27
14 -222.183777 27
15 -220.621689 27
